batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,None,0,1050.4260063171387
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,None,0,996.2775707244873
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,None,0,996.1814880371094
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,console,0,845.6001281738281
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,console,0,989.2725944519043
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,console,0,996.3080883026123
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,2518.4855461120605
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,2934.119939804077
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,2696.7523097991943
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,862.6236915588379
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,998.7919330596924
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,989.0937805175781
100000,SKLEARN,100000,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,6769.217491149902
100000,SKLEARN,100000,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,6668.784856796265
100000,SKLEARN,84807,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,5704.395771026611
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,file,0,904.5631885528564
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,file,0,1048.3872890472412
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,file,0,1075.688123703003
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,None,0,2527.9600620269775
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,console,0,2612.751007080078
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,8171.251535415649
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,3063.960313796997
all,SKLEARN,284807,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,19326.119899749756
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,file,0,2602.614164352417
