batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,None,0,901.2255668640137
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,None,0,1024.6727466583252
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,None,0,1043.6663627624512
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,console,0,916.5654182434082
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,console,0,1024.6939659118652
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,console,0,1027.571201324463
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,2537.919282913208
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,2550.530433654785
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,2412.9326343536377
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,880.6934356689453
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,1016.8085098266602
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,1040.1592254638672
100000,SKLEARN,100000,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,6863.717079162598
100000,SKLEARN,100000,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,6694.583415985107
100000,SKLEARN,84807,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,5649.364471435547
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,file,0,944.2224502563477
100000,SKLEARN,100000,BATCH_MODE,file,CREDIT_CARD,file,0,1099.029541015625
100000,SKLEARN,84807,BATCH_MODE,file,CREDIT_CARD,file,0,1108.01100730896
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,None,0,2450.7293701171875
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,console,0,2438.856363296509
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,db (mysql),0,7234.522581100464
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,db (sqlserver),0,2497.6632595062256
all,SKLEARN,284807,BATCH_MODE,db (mysql),CREDIT_CARD,db (mysql),0,19545.870065689087
all,SKLEARN,284807,BATCH_MODE,file,CREDIT_CARD,file,0,2677.8979301452637
