label,feature_integer1,feature_integer2,feature_integer3,feature_integer4,feature_integer5,feature_integer6,feature_integer7,feature_integer8,feature_integer9,feature_integer10,feature_integer11,feature_integer12,feature_integer13,categorical_feature1,categorical_feature2,categorical_feature3,categorical_feature4,categorical_feature5,categorical_feature6,categorical_feature7,categorical_feature8,categorical_feature9,categorical_feature10,categorical_feature11,categorical_feature12,categorical_feature13,categorical_feature14,categorical_feature15,categorical_feature16,categorical_feature17,categorical_feature18,categorical_feature19,categorical_feature20,categorical_feature21,categorical_feature22,categorical_feature23,categorical_feature24,categorical_feature25,categorical_feature26,Id
0,3.0,441.2116154583853,1.0,120.16365172942831,32.39126543994337,0.0,0.0,1,1,0.0,5.7188198880494845,7.0,1.0,c200134b,bfcf9f7a,93e42a93,67ecc871,e755064d,6fcd6dcb,2d19a3da,670da99c,2e4e821f,e6ae251b,b59debeb,9d687564,405ca118,8f3bcfaf,484a5e08,330c9d3e,753da5f3,628f1b8d,9512c20b,c033f4a6,f065aaaa,f93cfc39,cbc101bf,2fb4a3d0,30436bfc,ed10571d,0
1,1.0,22.0,1.0,1.0,32.39126543994337,2.0,0.0,49,1,1.0,5.7188198880494845,14.0,1.0,d4bcd263,ca034076,0078b677,f2463ffb,6571b82c,6fcd6dcb,42fbc26c,28808903,1df5e154,64a24987,30495534,f08e2382,f4fc3c5e,be4ee537,8777820a,4cdc3efa,d20856aa,a1eb1511,9512c20b,708f790d,e54fc1bc,ca3fba16,d7c1fc0b,b603601c,30436bfc,2ccea557,1
0,2.0,604.0,1.0,120.16365172942831,196.0,0.0,0.0,58,3,0.0,11.0,1.0,1.0,ad98e872,cea68cd3,f909c97c,6521d620,c6fc10d3,6fcd6dcb,d95c2173,c0375b13,7cee8453,62da11e3,14874876,3f923bce,26bb0b02,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,4fc9db17,30436bfc,e1be5ef2,2
0,4.0,6.0,4.0,120.16365172942831,32.39126543994337,0.0,0.0,65,19,0.0,5.7188198880494845,1324.0,4.0,78133a74,c3912001,87930a1c,e55976d0,48012eba,6fcd6dcb,37086fc8,09f8a09d,e25a4c11,f2be9d62,e78480aa,68928e59,a77a4a56,521d9fcb,2b083b96,10dd3744,1f7fc70b,b8170bba,9512c20b,bfdacc2c,87abeb2f,8cd54d10,d186e3be,2e7a09b8,cdc3217e,ed10571d,3
0,87.0,920.0,26.0,120.16365172942831,4.0,0.0,0.0,18,33,0.0,2.0,1821.0,32.0,ad98e872,8af1edc8,e18e84c0,67ecc871,4f59463a,6fcd6dcb,886cc47f,32204401,2e4e821f,62da11e3,14874876,7eb3d50b,a77a4a56,be4ee537,e99db36c,4cdc3efa,d20856aa,628f1b8d,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,278a29f7,30436bfc,e1be5ef2,4
0,33.51589739172469,83.0,1.0,9.0,32.39126543994337,1.0,0.0,2284,2,1.0,5.7188198880494845,770.0,1.0,bea0b2c2,efe6d24c,88e354ec,c5c780fc,1b892b7d,6fcd6dcb,84962b2e,e1908b8d,2e4e821f,57882150,2e7fd376,608b620c,a77a4a56,be4ee537,3365a93f,4cdc3efa,753da5f3,f7389918,9512c20b,d6ea4990,07b593fd,3c141f6c,1a87fe83,43390d0a,30436bfc,2ccea557,5
0,685.0,441.2116154583853,3.0,3.0,32.39126543994337,1.0,0.0,0,3,1.0,5.7188198880494845,1.0,3.0,1f12471b,7b831047,727506fb,6521d620,c6fc10d3,6fcd6dcb,3f414ea5,b69a2b08,dbe3aa6f,710812cc,0c8be1f5,52a5dcba,00c5ffb7,be4ee537,9eb57ff0,4cdc3efa,d20856aa,b8170bba,9512c20b,77ea2efe,3b8c7524,46788433,a1284c48,94ed025e,d0b1afa5,2ccea557,6
1,1.0,79.0,1.0,120.16365172942831,32.39126543994337,0.0,0.0,17,41,0.0,5.7188198880494845,1244.0,1.0,62770d79,a6edb29e,8a24f31d,67ecc871,2c53282e,6fcd6dcb,a92e2ae6,3ac13545,2e4e821f,2e027dc1,0c7c4231,190b325e,405ca118,be4ee537,9c6b5586,4cdc3efa,d20856aa,a1eb1511,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,d906a1c3,30436bfc,ed10571d,7
1,6.0,394.0,9.0,41.0,8.0,1.0,0.0,0,19,1.0,3.0,672.0,9.0,55eb1814,518601c0,bafcb47b,67ecc871,9398f390,6fcd6dcb,d935d694,f940326c,2e4e821f,ce45d50d,0338f690,b45683b2,f4fc3c5e,be4ee537,8f927ea0,4cdc3efa,d20856aa,b8170bba,b49a729d,b40b5cfe,9bff9856,cc186800,d3df7183,636c3c07,30436bfc,b757e957,8
1,33.51589739172469,470.0,6.601761753697804,120.16365172942831,32.39126543994337,0.0,0.0,5,0,0.0,5.7188198880494845,261302.0,7.764677000558237,51a3ae1d,1df55082,265d1aa4,67ecc871,58f5b2da,919c68e4,7b339f5f,1b9a9994,7cee8453,846e1587,4e82eb8a,c43697ac,a77a4a56,be4ee537,0f682585,4cdc3efa,d20856aa,b8170bba,9512c20b,8063b26a,f84d6487,e2beb1ec,d3df7183,17a1e0ee,ff654802,962813c6,9
1,33.51589739172469,467.0,3.0,3.0,32.39126543994337,2.0,0.0,67,4,1.0,5.7188198880494845,51.0,3.0,2476cf91,d0814689,823385ea,67ecc871,301c8d3b,6fcd6dcb,6d912d31,3e03ba26,1df5e154,f0aae02b,a5c09e1f,c45bf185,bf78d0d4,be4ee537,e30533f0,4cdc3efa,d20856aa,b7771e51,09c8c22c,207bc220,cb9bfe95,89d713c2,d3df7183,171aded7,ff654802,b757e957,10
0,41.0,1062.0,16.0,3182.0,40.0,0.0,0.0,167,13,0.0,16.0,1527.0,21.0,ad98e872,cea68cd3,417e6103,f2463ffb,1315f676,6fcd6dcb,4628641f,c0375b13,2e4e821f,62da11e3,14874876,4f0ae245,d49eb1df,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,86c2a370,30436bfc,e1be5ef2,11
1,33.51589739172469,496.0,6.601761753697804,13.0,32.39126543994337,3.0,0.0,174,2,1.0,5.7188198880494845,80.0,7.764677000558237,d9fc5c3b,aad673a6,3d983690,70e10178,e755064d,6fcd6dcb,dbf453f7,3d51d1b2,2e4e821f,e4a92cfe,c22deafe,d29b5e41,bf78d0d4,be4ee537,468750f2,4cdc3efa,d20856aa,b8170bba,9512c20b,116a1d71,f68eefca,fe360133,d3df7183,6ed14f97,ff654802,2ccea557,12
0,33.51589739172469,1130.0,6.601761753697804,14.0,28.0,4.0,7.0,0,7,2.0,8.0,450.0,7.764677000558237,265366bf,6f5c7c41,17f8a1e6,3f85ecae,c6fc10d3,6fcd6dcb,2d72123e,ab96c6b2,7cee8453,e63d98b4,c939136f,3234b9ed,26bb0b02,be4ee537,3b972bfb,4cdc3efa,d20856aa,a1eb1511,09c8c22c,47849e55,73b3f46d,d994ba60,d3df7183,59c61d47,ff654802,b757e957,13
0,1.0,1170.0,1.0,120.16365172942831,3.0,0.0,0.0,0,20,0.0,3.0,3201.0,12.0,788a5d5b,0f636fe1,01a0c607,f2463ffb,8b20d33c,6fcd6dcb,a7fad249,cd5745bc,1df5e154,16ec16d6,fa478aa9,e8f7f027,a77a4a56,be4ee537,1748f7cb,4cdc3efa,d20856aa,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,d3df7183,16e6b497,30436bfc,b757e957,14
1,7.0,1323.0,2.0,0.0,5.0,2.0,0.0,0,2,1.0,1.0,0.0,0.0,7a68d9e1,5dcc84f1,ab8a0c9f,e73552f8,6a1e0a60,6fcd6dcb,9597a5f6,05e18895,1df5e154,3a8db77b,b46118a9,8fffa0b2,a77a4a56,bd69f2cd,8afefc2d,94cc3bb5,753da5f3,7232d217,09c8c22c,102073f2,b58475e7,cd5b5b25,383da048,23b0b080,ff654802,ed10571d,15
1,33.51589739172469,74.0,6.601761753697804,120.16365172942831,32.39126543994337,0.0,0.0,-1,0,0.0,5.7188198880494845,415226.0,7.764677000558237,178ddf97,bd2e8b28,7bb39f4e,6faef306,3cd69f23,919c68e4,7a58d457,038e402d,54fc547f,2c8ceaba,d8238bfe,92b21c01,bf78d0d4,be4ee537,987124b6,4cdc3efa,d20856aa,b8170bba,9512c20b,d5d2abf1,847176dc,10525737,d3df7183,c55ff5a3,337b81aa,b757e957,16
1,3.0,507.0,2.0,62.0,50.0,0.0,2.0,1,8,0.0,9.0,23.0,0.0,8c74ddad,9cf541d4,0b0e6309,e6b5b2ee,664ff944,6fcd6dcb,c6f2939f,0c87902f,2e4e821f,fad77d8e,8dff6c8e,40fea683,26bb0b02,bd69f2cd,c0f8611e,1d738c50,1f7fc70b,a1eb1511,9512c20b,3b6ab60e,88862ada,d02ecd8c,e81e829b,f16c9562,30436bfc,2f33557c,17
