label,feature_integer1,feature_integer2,feature_integer3,feature_integer4,feature_integer5,feature_integer6,feature_integer7,feature_integer8,feature_integer9,feature_integer10,feature_integer11,feature_integer12,feature_integer13,categorical_feature1,categorical_feature2,categorical_feature3,categorical_feature4,categorical_feature5,categorical_feature6,categorical_feature7,categorical_feature8,categorical_feature9,categorical_feature10,categorical_feature11,categorical_feature12,categorical_feature13,categorical_feature14,categorical_feature15,categorical_feature16,categorical_feature17,categorical_feature18,categorical_feature19,categorical_feature20,categorical_feature21,categorical_feature22,categorical_feature23,categorical_feature24,categorical_feature25,categorical_feature26,Id
1,5.0,110.0,6.985313751668892,16.0,22.325581395348838,1.0,0.0,14,7,1.0,4.032200357781753,306.0,9.296395193591454,62770d79,e21f5d58,afea442f,945c7fcf,38b02748,6fcd6dcb,3580aa21,28808903,46dedfa6,2e027dc1,0c7c4231,95981d1f,00c5ffb7,be4ee537,8a0b74cc,4cdc3efa,d20856aa,b8170bba,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,7caf609c,30436bfc,ed10571d,0
0,32.0,3.0,5.0,161.33123689727464,1.0,0.0,0.0,61,5,0.0,1.0,3157.0,5.0,e5f3fd8d,a0aaffa6,6faa15d5,da8a3421,3cd69f23,6fcd6dcb,ab16ed81,43426c29,1df5e154,7de9c0a9,6652dc64,99eb4e27,00c5ffb7,be4ee537,f3bbfe99,4cdc3efa,d20856aa,a1eb1511,9512c20b,febfd863,a3323ca1,c8e1ee56,1752e9e8,75350c8a,991321ea,b757e957,1
0,29.75741935483871,233.0,1.0,146.0,1.0,0.0,0.0,99,7,0.0,1.0,3101.0,1.0,62770d79,ad984203,62bec60d,386c49ee,e755064d,6fcd6dcb,b5f5eb62,d1f2cc8b,2e4e821f,2e027dc1,0c7c4231,12716184,00c5ffb7,be4ee537,f70f0d0b,4cdc3efa,d20856aa,628f1b8d,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,34a9b905,ff654802,ed10571d,2
0,29.75741935483871,24.0,6.985313751668892,11.0,24.0,1.1633771929824561,0.0,56,3,0.19517543859649122,2.0,20456.0,9.296395193591454,ad98e872,710103fd,c73d2eb5,0c758dfb,f1738f48,6fcd6dcb,e824fc11,09f8a09d,e25a4c11,62da11e3,14874876,12716184,d49eb1df,b96f9e1a,2b083b96,10dd3744,1f7fc70b,a1eb1511,9512c20b,156cbe87,96fbe197,15562d5d,dc209cd3,b8a81fb0,30436bfc,b757e957,3
0,60.0,223.0,6.0,15.0,5.0,0.0,0.0,1,8,0.0,2.0,1582.0,6.0,02e197c5,c2ced437,a2427619,3f85ecae,b8c51ab7,6fcd6dcb,26d0f5bb,337bf7a5,e25a4c11,6da2367e,bf624fa3,ec982ce0,a77a4a56,be4ee537,eb24f585,4cdc3efa,d20856aa,d9f758ff,9512c20b,c709ec07,2b07677e,a89a92a5,aa137169,e619743b,cdc3217e,ed10571d,4
1,7.0,1.0,10.0,2.0,22.325581395348838,3.0,0.0,0,12,1.0,4.032200357781753,4.0,2.0,8a2b1e43,3fa554c6,0b8e4616,f2463ffb,c6fc10d3,6fcd6dcb,ca33cfe1,ec70a584,1df5e154,31184e3d,fa478aa9,ea19984d,bf78d0d4,be4ee537,1db5813f,4cdc3efa,d20856aa,b8170bba,9512c20b,8024f45f,0683bc6f,fa7eca6c,d3df7183,ecfbb046,ff654802,b757e957,5
0,1.0,52.0,1.0,59.0,9.0,0.0,0.0,1,1,0.0,2.0,40969.0,1.0,a80f39e1,79782afd,ddb2d2e1,3f85ecae,27d2607e,6fcd6dcb,3c024557,3e03ba26,25dd8f9a,e6c4de5e,a5c09e1f,9a1f0c1e,a77a4a56,be4ee537,fbc36ae9,4cdc3efa,d20856aa,6691e292,9512c20b,0c973540,1443a006,5f0a75ba,d3df7183,ae2a9011,321935cd,74a20f02,6
0,81.0,394.0,5.0,161.33123689727464,8.0,0.0,0.0,11,10,0.0,1.0,30814.0,5.0,a46c5216,ddc72fb0,49c7ebf8,386c49ee,6c49ffa1,919c68e4,407011ef,b2a2bd17,2e4e821f,bd939915,62891297,12716184,d49eb1df,be4ee537,57469cbd,4cdc3efa,753da5f3,d9fd9ab1,9512c20b,3904f3e1,9d4a8e96,87cdacc3,c41c9ca8,bf38b85a,30436bfc,ed10571d,7
0,1.0,3.0,0.0,161.33123689727464,22.325581395348838,0.0,0.0,1748,5,0.0,4.032200357781753,2285.0,1.0,9318c40b,53c06361,fea787e5,d9a8ea57,58f5b2da,6fcd6dcb,85b703eb,586d6aed,2e4e821f,5a26a4e7,750506a2,e07b0a69,405ca118,be4ee537,4354aec1,4cdc3efa,d20856aa,b8170bba,9512c20b,4417662d,5731c43e,ad2dfc1d,a3d67fd4,a8141335,30436bfc,ed10571d,8
0,4.0,20.0,3.0,7.0,1.0,1.0,1.0,8,9,1.0,1.0,53.0,3.0,62770d79,ad984203,ddd956c1,f7f54f97,bbaea1c0,6fcd6dcb,3dfbcac0,d1f2cc8b,2e4e821f,2e027dc1,0c7c4231,12716184,f4fc3c5e,be4ee537,f70f0d0b,4cdc3efa,d20856aa,b8170bba,9512c20b,c38e2f28,14f65a5d,25b1b089,d7c1fc0b,90b2fb17,30436bfc,ed10571d,9
