#Label	Sepal length	Sepal width	Petal length	Petal width	Id
2	6.3	3.3	6.0	2.5	100
2	5.8	2.7	5.1	1.9	101
2	7.1	3.0	5.9	2.1	102
2	6.3	2.9	5.6	1.8	103
2	6.5	3.0	5.8	2.2	104
2	7.6	3.0	6.6	2.1	105
2	4.9	2.5	4.5	1.7	106
2	7.3	2.9	6.3	1.8	107
2	6.7	2.5	5.8	1.8	108
2	7.2	3.6	6.1	2.5	109
2	6.5	3.2	5.1	2.0	110
2	6.4	2.7	5.3	1.9	111
2	6.8	3.0	5.5	2.1	112
2	5.7	2.5	5.0	2.0	113
2	5.8	2.8	5.1	2.4	114
2	6.4	3.2	5.3	2.3	115
2	6.5	3.0	5.5	1.8	116
2	7.7	3.8	6.7	2.2	117
2	7.7	2.6	6.9	2.3	118
2	6.0	2.2	5.0	1.5	119
2	6.9	3.2	5.7	2.3	120
2	5.6	2.8	4.9	2.0	121
2	7.7	2.8	6.7	2.0	122
2	6.3	2.7	4.9	1.8	123
2	6.7	3.3	5.7	2.1	124
2	7.2	3.2	6.0	1.8	125
2	6.2	2.8	4.8	1.8	126
2	6.1	3.0	4.9	1.8	127
2	6.4	2.8	5.6	2.1	128
2	7.2	3.0	5.8	1.6	129
2	7.4	2.8	6.1	1.9	130
2	7.9	3.8	6.4	2.0	131
2	6.4	2.8	5.6	2.2	132
2	6.3	2.8	5.1	1.5	133
2	6.1	2.6	5.6	1.4	134
2	7.7	3.0	6.1	2.3	135
2	6.3	3.4	5.6	2.4	136
2	6.4	3.1	5.5	1.8	137
2	6.0	3.0	4.8	1.8	138
2	6.9	3.1	5.4	2.1	139
2	6.7	3.1	5.6	2.4	140
2	6.9	3.1	5.1	2.3	141
2	5.8	2.7	5.1	1.9	142
2	6.8	3.2	5.9	2.3	143
2	6.7	3.3	5.7	2.5	144
2	6.7	3.0	5.2	2.3	145
2	6.3	2.5	5.0	1.9	146
2	6.5	3.0	5.2	2.0	147
2	6.2	3.4	5.4	2.3	148
