#Label	Sepal length	Sepal width	Petal length	Petal width	Id
0	5.4	3.7	1.5	0.2	0
0	4.8	3.4	1.6	0.2	1
0	4.8	3.0	1.4	0.1	2
0	4.3	3.0	1.1	0.1	3
0	5.8	4.0	1.2	0.2	4
0	5.7	4.4	1.5	0.4	5
0	5.4	3.9	1.3	0.4	6
0	5.1	3.5	1.4	0.3	7
0	5.7	3.8	1.7	0.3	8
0	5.1	3.8	1.5	0.3	9
0	5.4	3.4	1.7	0.2	10
0	5.1	3.7	1.5	0.4	11
0	4.6	3.6	1.0	0.2	12
0	5.1	3.3	1.7	0.5	13
0	4.8	3.4	1.9	0.2	14
0	5.0	3.0	1.6	0.2	15
0	5.0	3.4	1.6	0.4	16
0	5.2	3.5	1.5	0.2	17
0	5.2	3.4	1.4	0.2	18
0	4.7	3.2	1.6	0.2	19
0	4.8	3.1	1.6	0.2	20
0	5.4	3.4	1.5	0.4	21
0	5.2	4.1	1.5	0.1	22
0	5.5	4.2	1.4	0.2	23
0	4.9	3.1	1.5	0.1	24
0	5.0	3.2	1.2	0.2	25
0	5.5	3.5	1.3	0.2	26
0	4.9	3.1	1.5	0.1	27
0	4.4	3.0	1.3	0.2	28
0	5.1	3.4	1.5	0.2	29
0	5.0	3.5	1.3	0.3	30
0	4.5	2.3	1.3	0.3	31
0	4.4	3.2	1.3	0.2	32
0	5.0	3.5	1.6	0.6	33
0	5.1	3.8	1.9	0.4	34
0	4.8	3.0	1.4	0.3	35
0	5.1	3.8	1.6	0.2	36
0	4.6	3.2	1.4	0.2	37
0	5.3	3.7	1.5	0.2	38
0	5.0	3.3	1.4	0.2	39
1	5.0	2.0	3.5	1.0	40
1	5.9	3.0	4.2	1.5	41
1	6.0	2.2	4.0	1.0	42
1	6.1	2.9	4.7	1.4	43
1	5.6	2.9	3.6	1.3	44
1	6.7	3.1	4.4	1.4	45
1	5.6	3.0	4.5	1.5	46
1	5.8	2.7	4.1	1.0	47
1	6.2	2.2	4.5	1.5	48
1	5.6	2.5	3.9	1.1	49
1	5.9	3.2	4.8	1.8	50
1	6.1	2.8	4.0	1.3	51
1	6.3	2.5	4.9	1.5	52
1	6.1	2.8	4.7	1.2	53
1	6.4	2.9	4.3	1.3	54
1	6.6	3.0	4.4	1.4	55
1	6.8	2.8	4.8	1.4	56
1	6.7	3.0	5.0	1.7	57
1	6.0	2.9	4.5	1.5	58
1	5.7	2.6	3.5	1.0	59
1	5.5	2.4	3.8	1.1	60
1	5.5	2.4	3.7	1.0	61
1	5.8	2.7	3.9	1.2	62
1	6.0	2.7	5.1	1.6	63
1	5.4	3.0	4.5	1.5	64
1	6.0	3.4	4.5	1.6	65
1	6.7	3.1	4.7	1.5	66
1	6.3	2.3	4.4	1.3	67
1	5.6	3.0	4.1	1.3	68
1	5.5	2.5	4.0	1.3	69
1	5.5	2.6	4.4	1.2	70
1	6.1	3.0	4.6	1.4	71
1	5.8	2.6	4.0	1.2	72
1	5.0	2.3	3.3	1.0	73
1	5.6	2.7	4.2	1.3	74
1	5.7	3.0	4.2	1.2	75
1	5.7	2.9	4.2	1.3	76
1	6.2	2.9	4.3	1.3	77
1	5.1	2.5	3.0	1.1	78
1	5.7	2.8	4.1	1.3	79
2	6.5	3.2	5.1	2.0	80
2	6.4	2.7	5.3	1.9	81
2	6.8	3.0	5.5	2.1	82
2	5.7	2.5	5.0	2.0	83
2	5.8	2.8	5.1	2.4	84
2	6.4	3.2	5.3	2.3	85
2	6.5	3.0	5.5	1.8	86
2	7.7	3.8	6.7	2.2	87
2	7.7	2.6	6.9	2.3	88
2	6.0	2.2	5.0	1.5	89
2	6.9	3.2	5.7	2.3	90
2	5.6	2.8	4.9	2.0	91
2	7.7	2.8	6.7	2.0	92
2	6.3	2.7	4.9	1.8	93
2	6.7	3.3	5.7	2.1	94
2	7.2	3.2	6.0	1.8	95
2	6.2	2.8	4.8	1.8	96
2	6.1	3.0	4.9	1.8	97
2	6.4	2.8	5.6	2.1	98
2	7.2	3.0	5.8	1.6	99
2	7.4	2.8	6.1	1.9	100
2	7.9	3.8	6.4	2.0	101
2	6.4	2.8	5.6	2.2	102
2	6.3	2.8	5.1	1.5	103
2	6.1	2.6	5.6	1.4	104
2	7.7	3.0	6.1	2.3	105
2	6.3	3.4	5.6	2.4	106
2	6.4	3.1	5.5	1.8	107
2	6.0	3.0	4.8	1.8	108
2	6.9	3.1	5.4	2.1	109
2	6.7	3.1	5.6	2.4	110
2	6.9	3.1	5.1	2.3	111
2	5.8	2.7	5.1	1.9	112
2	6.8	3.2	5.9	2.3	113
2	6.7	3.3	5.7	2.5	114
2	6.7	3.0	5.2	2.3	115
2	6.3	2.5	5.0	1.9	116
2	6.5	3.0	5.2	2.0	117
2	6.2	3.4	5.4	2.3	118
2	5.9	3.0	5.1	1.8	119
