batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,150,BATCH,CSV,IRIS,NO_OUTPUT,0,49.13687705993652
100,SKLEARN,150,BATCH,CSV,IRIS,CONSOLE,0,7.627964019775391
100,SKLEARN,150,BATCH,CSV,IRIS,MYSQL,0,42.20938682556152
100,SKLEARN,150,BATCH,CSV,IRIS,SQLSERVER,0,8.395195007324219
100,SKLEARN,150,BATCH,MYSQL,IRIS,MYSQL,0,97.28550910949707
100,SKLEARN,150,BATCH,SQLSERVER,IRIS,SQLSERVER,0,28.43332290649414
100,SKLEARN,150,BATCH,CSV,IRIS,CSV,0,9.796142578125
1000,SKLEARN,150,BATCH,CSV,IRIS,NO_OUTPUT,0,3.484964370727539
1000,SKLEARN,150,BATCH,CSV,IRIS,CONSOLE,0,3.82232666015625
1000,SKLEARN,150,BATCH,CSV,IRIS,MYSQL,0,32.26041793823242
1000,SKLEARN,150,BATCH,CSV,IRIS,SQLSERVER,0,12.383222579956055
1000,SKLEARN,150,BATCH,MYSQL,IRIS,MYSQL,0,32.53293037414551
1000,SKLEARN,150,BATCH,SQLSERVER,IRIS,SQLSERVER,0,36.70978546142578
1000,SKLEARN,150,BATCH,CSV,IRIS,CSV,0,6.546258926391602
10000,SKLEARN,150,BATCH,CSV,IRIS,NO_OUTPUT,0,3.3655166625976562
10000,SKLEARN,150,BATCH,CSV,IRIS,CONSOLE,0,4.479408264160156
10000,SKLEARN,150,BATCH,CSV,IRIS,MYSQL,0,23.55194091796875
10000,SKLEARN,150,BATCH,CSV,IRIS,SQLSERVER,0,3.516674041748047
10000,SKLEARN,150,BATCH,MYSQL,IRIS,MYSQL,0,47.79672622680664
10000,SKLEARN,150,BATCH,SQLSERVER,IRIS,SQLSERVER,0,21.09551429748535
10000,SKLEARN,150,BATCH,CSV,IRIS,CSV,0,4.896640777587891
100000,SKLEARN,150,BATCH,CSV,IRIS,NO_OUTPUT,0,3.4809112548828125
100000,SKLEARN,150,BATCH,CSV,IRIS,CONSOLE,0,3.5533905029296875
100000,SKLEARN,150,BATCH,CSV,IRIS,MYSQL,0,32.35507011413574
100000,SKLEARN,150,BATCH,CSV,IRIS,SQLSERVER,0,12.311458587646484
100000,SKLEARN,150,BATCH,MYSQL,IRIS,MYSQL,0,32.341718673706055
100000,SKLEARN,150,BATCH,SQLSERVER,IRIS,SQLSERVER,0,15.065431594848633
100000,SKLEARN,150,BATCH,CSV,IRIS,CSV,0,6.268739700317383
ALL,SKLEARN,150,BATCH,CSV,IRIS,NO_OUTPUT,0,4.919290542602539
ALL,SKLEARN,150,BATCH,CSV,IRIS,CONSOLE,0,4.0493011474609375
ALL,SKLEARN,150,BATCH,CSV,IRIS,MYSQL,0,31.67557716369629
ALL,SKLEARN,150,BATCH,CSV,IRIS,SQLSERVER,0,9.59157943725586
ALL,SKLEARN,150,BATCH,MYSQL,IRIS,MYSQL,0,50.702571868896484
ALL,SKLEARN,150,BATCH,SQLSERVER,IRIS,SQLSERVER,0,17.604589462280273
ALL,SKLEARN,150,BATCH,CSV,IRIS,CSV,0,4.950046539306641
