batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,1349.5917320251465
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,1704.603672027588
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,2564.002752304077
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,1307.1913719177246
100,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,5100.909471511841
100,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,4442.79408454895
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,2130.1960945129395
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,188.2913112640381
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,428.6010265350342
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,601.632833480835
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,175.76169967651367
1000,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,1566.8284893035889
1000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,1124.603509902954
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,200.61469078063965
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,53.243160247802734
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,50.36425590515137
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,485.60523986816406
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,54.9769401550293
10000,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,898.4370231628418
10000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,818.9229965209961
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,92.99397468566895
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,47.71590232849121
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,48.40207099914551
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,468.37520599365234
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,99.5640754699707
100000,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,1159.135103225708
100000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,685.6710910797119
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,82.90386199951172
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,48.63119125366211
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,45.2117919921875
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,586.158037185669
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,79.49090003967285
ALL,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,985.201358795166
ALL,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,604.7604084014893
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,70.12391090393066
