batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,NO_OUTPUT,0,1225.757360458374
100,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CONSOLE,0,1382.8861713409424
100,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,MYSQL,0,2516.8261528015137
100,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,SQLSERVER,0,1184.7155094146729
100,SKLEARN,17379,BATCH,MYSQL,BIKE_POISSON,MYSQL,0,5158.339500427246
100,SKLEARN,17379,BATCH,SQLSERVER,BIKE_POISSON,SQLSERVER,0,5150.885820388794
100,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CSV,0,1817.3627853393555
1000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,NO_OUTPUT,0,202.5749683380127
1000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CONSOLE,0,188.71378898620605
1000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,MYSQL,0,584.3250751495361
1000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,SQLSERVER,0,164.5362377166748
1000,SKLEARN,17379,BATCH,MYSQL,BIKE_POISSON,MYSQL,0,1392.8234577178955
1000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_POISSON,SQLSERVER,0,951.9696235656738
1000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CSV,0,243.0744171142578
10000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,NO_OUTPUT,0,37.573814392089844
10000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CONSOLE,0,47.64080047607422
10000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,MYSQL,0,438.8864040374756
10000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,SQLSERVER,0,40.116071701049805
10000,SKLEARN,17379,BATCH,MYSQL,BIKE_POISSON,MYSQL,0,946.3686943054199
10000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_POISSON,SQLSERVER,0,611.0877990722656
10000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CSV,0,64.4233226776123
100000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,NO_OUTPUT,0,26.693105697631836
100000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CONSOLE,0,28.659820556640625
100000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,MYSQL,0,463.9151096343994
100000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,SQLSERVER,0,68.07303428649902
100000,SKLEARN,17379,BATCH,MYSQL,BIKE_POISSON,MYSQL,0,963.3646011352539
100000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_POISSON,SQLSERVER,0,625.476598739624
100000,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CSV,0,58.771610260009766
ALL,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,NO_OUTPUT,0,27.12392807006836
ALL,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CONSOLE,0,28.798818588256836
ALL,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,MYSQL,0,450.6070613861084
ALL,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,SQLSERVER,0,69.37980651855469
ALL,SKLEARN,17379,BATCH,MYSQL,BIKE_POISSON,MYSQL,0,967.8552150726318
ALL,SKLEARN,17379,BATCH,SQLSERVER,BIKE_POISSON,SQLSERVER,0,732.3462963104248
ALL,SKLEARN,17379,BATCH,CSV,BIKE_POISSON,CSV,0,118.23558807373047
