batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,NO_OUTPUT,0,1090.7797813415527
100,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CONSOLE,0,1342.5707817077637
100,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,MYSQL,0,2260.2133750915527
100,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,SQLSERVER,0,1309.4663619995117
100,SKLEARN,17379,BATCH,MYSQL,BIKE_SDCA,MYSQL,0,5725.112676620483
100,SKLEARN,17379,BATCH,SQLSERVER,BIKE_SDCA,SQLSERVER,0,3893.575429916382
100,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CSV,0,1614.3507957458496
1000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,NO_OUTPUT,0,161.58723831176758
1000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CONSOLE,0,392.042875289917
1000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,MYSQL,0,534.2364311218262
1000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,SQLSERVER,0,143.6631679534912
1000,SKLEARN,17379,BATCH,MYSQL,BIKE_SDCA,MYSQL,0,1345.6096649169922
1000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_SDCA,SQLSERVER,0,983.0441474914551
1000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CSV,0,246.23775482177734
10000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,NO_OUTPUT,0,43.32113265991211
10000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CONSOLE,0,46.46611213684082
10000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,MYSQL,0,407.75585174560547
10000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,SQLSERVER,0,37.4140739440918
10000,SKLEARN,17379,BATCH,MYSQL,BIKE_SDCA,MYSQL,0,941.9662952423096
10000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_SDCA,SQLSERVER,0,606.4200401306152
10000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CSV,0,66.97487831115723
100000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,NO_OUTPUT,0,29.32262420654297
100000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CONSOLE,0,27.21714973449707
100000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,MYSQL,0,429.4555187225342
100000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,SQLSERVER,0,76.10177993774414
100000,SKLEARN,17379,BATCH,MYSQL,BIKE_SDCA,MYSQL,0,945.4894065856934
100000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_SDCA,SQLSERVER,0,591.8657779693604
100000,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CSV,0,72.97682762145996
ALL,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,NO_OUTPUT,0,31.53204917907715
ALL,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CONSOLE,0,33.33330154418945
ALL,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,MYSQL,0,486.6347312927246
ALL,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,SQLSERVER,0,60.04166603088379
ALL,SKLEARN,17379,BATCH,MYSQL,BIKE_SDCA,MYSQL,0,936.4471435546875
ALL,SKLEARN,17379,BATCH,SQLSERVER,BIKE_SDCA,SQLSERVER,0,596.9326496124268
ALL,SKLEARN,17379,BATCH,CSV,BIKE_SDCA,CSV,0,58.834075927734375
