batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,1290.996789932251
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,1535.0379943847656
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,2590.771436691284
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,1296.8418598175049
100,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,5270.292282104492
100,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,4167.994737625122
100,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,1805.6426048278809
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,223.18482398986816
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,490.3256893157959
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,766.6773796081543
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,161.5288257598877
1000,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,1440.0513172149658
1000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,1202.972412109375
1000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,201.44104957580566
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,46.11802101135254
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,45.34029960632324
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,415.99464416503906
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,52.2158145904541
10000,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,986.6428375244141
10000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,557.8808784484863
10000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,71.49481773376465
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,37.73379325866699
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,38.73181343078613
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,401.37720108032227
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,58.914899826049805
100000,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,930.9310913085938
100000,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,533.3907604217529
100000,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,65.88006019592285
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,NO_OUTPUT,0,36.904096603393555
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CONSOLE,0,37.17994689941406
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,MYSQL,0,371.7951774597168
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,SQLSERVER,0,39.899587631225586
ALL,SKLEARN,17379,BATCH,MYSQL,BIKE_FAST_TREE,MYSQL,0,916.9795513153076
ALL,SKLEARN,17379,BATCH,SQLSERVER,BIKE_FAST_TREE,SQLSERVER,0,524.4626998901367
ALL,SKLEARN,17379,BATCH,CSV,BIKE_FAST_TREE,CSV,0,65.41943550109863
