Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Id
2008,1,5,6,1211.0,1150,1420.0,1405,WN,463,N628SW,69.0,75.0,55.0,15.0,21.0,LAX,PHX,370,5.0,9.0,0,0,10.0,0.0,0.0,0.0,5.0,7000
2008,1,5,6,2243.0,2040,39.0,2250,WN,520,N403WN,56.0,70.0,48.0,109.0,123.0,LAX,PHX,370,3.0,5.0,0,0,0.0,0.0,0.0,0.0,109.0,7001
2008,1,5,6,1524.0,1440,1732.0,1655,WN,746,N412WN,68.0,75.0,53.0,37.0,44.0,LAX,PHX,370,6.0,9.0,0,0,0.0,0.0,1.0,0.0,36.0,7002
2008,1,5,6,1014.0,1005,1220.0,1220,WN,1058,N764SW,66.0,75.0,51.0,0.0,9.0,LAX,PHX,370,8.0,7.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7003
2008,1,5,6,928.0,920,1138.0,1135,WN,1155,N465WN,70.0,75.0,51.0,3.0,8.0,LAX,PHX,370,8.0,11.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7004
2008,1,5,6,1431.0,1335,1639.0,1550,WN,2015,N489WN,68.0,75.0,53.0,49.0,56.0,LAX,PHX,370,8.0,7.0,0,0,28.0,0.0,0.0,0.0,21.0,7005
2008,1,5,6,1829.0,1720,1949.0,1835,WN,225,N403WN,80.0,75.0,59.0,74.0,69.0,LAX,RNO,390,14.0,7.0,0,0,0.0,25.0,5.0,0.0,44.0,7006
2008,1,5,6,845.0,845,1001.0,1005,WN,1844,N345SA,76.0,80.0,60.0,-4.0,0.0,LAX,RNO,390,5.0,11.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7007
2008,1,5,6,1617.0,1400,1493.5018856385689,1520,WN,2360,N349SW,108.11130363877281,80.0,92.09295688512894,16.757415146264396,137.0,LAX,RNO,390,5.042197533380899,12.0,0,1,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7008
2008,1,5,6,1237.0,1205,1708.0,1650,WN,167,N792SW,151.0,165.0,140.0,18.0,32.0,LAX,SAT,1210,3.0,8.0,0,0,3.0,0.0,0.0,0.0,15.0,7009
2008,1,5,6,705.0,710,822.0,835,WN,457,N297WN,77.0,85.0,63.0,-13.0,-5.0,LAX,SFO,337,7.0,7.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7010
2008,1,5,6,904.0,905,1045.0,1025,WN,469,N901WN,101.0,80.0,84.0,20.0,-1.0,LAX,SFO,337,4.0,13.0,0,0,0.0,0.0,20.0,0.0,0.0,7011
2008,1,5,6,1949.0,1620,2133.0,1740,WN,618,N901WN,104.0,80.0,94.0,233.0,209.0,LAX,SFO,337,5.0,5.0,0,0,0.0,0.0,29.0,0.0,204.0,7012
2008,1,5,6,2236.0,1805,2400.0,1930,WN,646,N283WN,84.0,85.0,71.0,270.0,271.0,LAX,SFO,337,6.0,7.0,0,0,105.0,0.0,0.0,0.0,165.0,7013
2008,1,5,6,1604.0,1430,1723.0,1550,WN,656,N282WN,79.0,80.0,66.0,93.0,94.0,LAX,SFO,337,4.0,9.0,0,0,0.0,93.0,0.0,0.0,0.0,7014
2008,1,5,6,1374.533089356511,1050,1493.5018856385689,1210,WN,680,N528SW,108.11130363877281,80.0,92.09295688512894,16.757415146264396,21.17688319609637,LAX,SFO,337,5.042197533380899,10.976415573853817,1,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7015
2008,1,5,6,1533.0,1245,1641.0,1405,WN,776,N901WN,68.0,80.0,61.0,156.0,168.0,LAX,SFO,337,3.0,4.0,0,0,0.0,150.0,0.0,0.0,6.0,7016
2008,1,5,6,1374.533089356511,1455,1493.5018856385689,1600,WN,173,N528SW,108.11130363877281,65.0,92.09295688512894,16.757415146264396,21.17688319609637,LAX,SJC,308,5.042197533380899,10.976415573853817,1,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7017
2008,1,5,6,1610.0,1525,1716.0,1630,WN,232,N776WN,66.0,65.0,56.0,46.0,45.0,LAX,SJC,308,3.0,7.0,0,0,0.0,0.0,7.0,0.0,39.0,7018
2008,1,5,6,2012.0,1945,2118.0,2050,WN,317,N411WN,66.0,65.0,55.0,28.0,27.0,LAX,SJC,308,4.0,7.0,0,0,9.0,0.0,1.0,0.0,18.0,7019
2008,1,5,6,1337.0,1130,1441.0,1235,WN,769,N304SW,64.0,65.0,52.0,126.0,127.0,LAX,SJC,308,3.0,9.0,0,0,0.0,0.0,13.0,0.0,113.0,7020
2008,1,5,6,1450.0,1425,1556.0,1530,WN,1609,N359SW,66.0,65.0,56.0,26.0,25.0,LAX,SJC,308,4.0,6.0,0,0,0.0,0.0,12.0,0.0,14.0,7021
2008,1,5,6,910.0,910,1020.0,1015,WN,1764,N776WN,70.0,65.0,56.0,5.0,0.0,LAX,SJC,308,3.0,11.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7022
2008,1,5,6,1917.0,1825,2024.0,1930,WN,2359,N257WN,67.0,65.0,58.0,54.0,52.0,LAX,SJC,308,5.0,4.0,0,0,17.0,0.0,2.0,0.0,35.0,7023
2008,1,5,6,742.0,740,849.0,850,WN,2561,N358SW,67.0,70.0,56.0,-1.0,2.0,LAX,SJC,308,2.0,9.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7024
2008,1,5,6,1318.0,1240,1422.0,1350,WN,2820,N521SW,64.0,70.0,52.0,32.0,38.0,LAX,SJC,308,3.0,9.0,0,0,15.0,0.0,0.0,0.0,17.0,7025
2008,1,5,6,1002.0,1000,1108.0,1105,WN,2969,N382SW,66.0,65.0,56.0,3.0,2.0,LAX,SJC,308,3.0,7.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7026
2008,1,5,6,1729.0,1700,1838.0,1805,WN,3149,N765SW,69.0,65.0,57.0,33.0,29.0,LAX,SJC,308,4.0,8.0,0,0,0.0,0.0,5.0,0.0,28.0,7027
2008,1,5,6,1412.0,1330,1643.0,1615,WN,554,N603SW,91.0,105.0,76.0,28.0,42.0,LAX,SLC,590,4.0,11.0,0,0,0.0,0.0,4.0,0.0,24.0,7028
2008,1,5,6,1111.0,1045,1346.0,1330,WN,696,N358SW,95.0,105.0,80.0,16.0,26.0,LAX,SLC,590,6.0,9.0,0,0,7.0,0.0,0.0,0.0,9.0,7029
2008,1,5,6,1659.0,1650,1929.0,1935,WN,2899,N334SW,90.0,105.0,76.0,-6.0,9.0,LAX,SLC,590,6.0,8.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7030
2008,1,5,6,1105.0,1100,1221.0,1220,WN,92,N495WN,76.0,80.0,65.0,1.0,5.0,LAX,SMF,373,4.0,7.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7031
2008,1,5,6,1818.0,1530,1935.0,1645,WN,274,N711HK,77.0,75.0,64.0,170.0,168.0,LAX,SMF,373,5.0,8.0,0,0,0.0,0.0,4.0,0.0,166.0,7032
2008,1,5,6,810.0,810,926.0,930,WN,337,N456WN,76.0,80.0,66.0,-4.0,0.0,LAX,SMF,373,5.0,5.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7033
2008,1,5,6,1374.533089356511,1910,1493.5018856385689,2025,WN,1015,N528SW,108.11130363877281,75.0,92.09295688512894,16.757415146264396,21.17688319609637,LAX,SMF,373,5.042197533380899,10.976415573853817,1,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7034
2008,1,5,6,900.0,900,1019.0,1020,WN,1486,N447WN,79.0,80.0,62.0,-1.0,0.0,LAX,SMF,373,5.0,12.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7035
2008,1,5,6,1404.0,1350,1515.0,1510,WN,2985,N777QC,71.0,80.0,61.0,5.0,14.0,LAX,SMF,373,4.0,6.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7036
2008,1,5,6,1904.0,1715,2019.0,1830,WN,3155,N384SW,75.0,75.0,62.0,109.0,109.0,LAX,SMF,373,6.0,7.0,0,0,0.0,0.0,22.0,0.0,87.0,7037
2008,1,5,6,2137.0,2035,2302.0,2155,WN,3584,N285WN,85.0,80.0,67.0,67.0,62.0,LAX,SMF,373,7.0,11.0,0,0,39.0,0.0,5.0,0.0,23.0,7038
2008,1,5,6,1713.0,1655,2217.0,2225,WN,71,N440LV,184.0,210.0,174.0,-8.0,18.0,LAX,STL,1593,4.0,6.0,0,0,11.344761904761905,1.333061224489796,5.738231292517007,0.10884353741496598,29.922721088435374,7039
