Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Id
2008,1,4,5,1214,1200,1305,1255,WN,24,N519SW,51,55,41,10,14,HOU,DAL,239,2,8,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,3305
2008,1,5,6,2013,1805,2133,1900,WN,2732,N218WN,80,55,52,153,128,RNO,OAK,180,5,23,0,0,0,23,25,0,105,8033
2008,1,5,6,1330,1325,1418,1415,WN,112,N324SW,48,50,31,3,5,DAL,AUS,189,4,13,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,6318
2008,1,5,6,2020,2020,2242,2255,WN,117,N314SW,82,95,71,-13,0,MSY,MCO,550,4,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,7476
2008,1,4,5,1730,1730,1852,1850,WN,186,N414WN,82,80,67,2,0,JAN,HOU,359,7,8,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,3486
2008,1,3,4,1152,1120,1802,1730,WN,882,N774SW,250,250,232,32,32,OAK,BNA,1959,5,13,0,0,21,0,0,0,11,965
2008,1,4,5,809,810,908,915,WN,3421,N505SW,59,65,43,-7,-1,PHX,ABQ,328,4,12,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,4779
2008,1,5,6,1646,1545,1753,1700,WN,2028,N238WN,67,75,56,53,61,SJC,SNA,342,4,7,0,0,0,0,0,0,53,8315
2008,1,4,5,1505,1505,1550,1605,WN,1662,N289CT,105,120,91,-15,0,IAD,MDW,577,4,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,3435
2008,1,3,4,1039,1040,1132,1150,WN,535,N428WN,233,250,219,-18,-1,IND,LAS,1591,7,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,7
2008,1,4,5,1374.5330893565,855,1493.5018856386,1000,WN,3581,N528SW,108.1113036388,65,92.0929568851,16.7574151463,21.1768831961,OAK,BUR,325,5.0421975334,10.9764155739,1,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,4420
2008,1,4,5,1344,1135,1458,1255,WN,330,N738CB,74,80,58,123,129,SMF,LAX,373,3,13,0,0,0,11,0,0,112,5504
2008,1,5,6,928,920,1138,1135,WN,1155,N465WN,70,75,51,3,8,LAX,PHX,370,8,11,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,7004
2008,1,3,4,1739,1730,1947,1935,WN,252,N359SW,128,125,107,12,9,SEA,OAK,671,10,11,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,1865
2008,1,5,6,1545,1505,1814,1750,WN,738,N636WN,89,105,77,24,40,LAX,ABQ,677,5,7,0,0,24,0,0,0,0,6946
2008,1,6,7,1916,1915,2005,2005,WN,186,N450WN,49,50,39,0,1,HOU,SAT,192,3,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9572
2008,1,6,7,1533,1515,1638,1630,WN,3046,N363SW,65,75,55,8,18,ALB,BWI,288,3,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,8679
2008,1,5,6,831,830,947,945,WN,3397,N246LV,76,75,56,2,1,ALB,BWI,288,7,13,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,5866
2008,1,4,5,1456,1430,1633,1545,WN,1032,N477WN,97,75,57,48,26,LAX,OAK,337,21,19,0,0,0,0,22,0,26,3807
2008,1,3,4,1425,1415,1518,1515,WN,130,N654SW,113,120,98,3,10,SLC,OAK,588,4,11,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,2022
2008,1,6,7,631,625,942,940,WN,1866,N497WN,311,315,293,2,6,BWI,PHX,1999,8,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9084
2008,1,4,5,839,740,940,850,WN,773,N335SW,61,70,51,50,59,SJC,ONT,333,3,7,0,0,13,0,0,0,37,5391
2008,1,5,6,1436,1435,1439,1440,WN,3665,N525SW,63,65,51,-1,1,DTW,MDW,229,3,9,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,6463
2008,1,4,5,849,845,1137,1140,WN,437,N790SW,108,115,97,-3,4,MDW,BDL,777,4,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,4113
2008,1,5,6,1959,1935,2104,2045,WN,2540,N605SW,65,70,54,19,24,SMF,BUR,358,3,8,0,0,2,0,0,0,17,8362
2008,1,4,5,1031,1030,1542,1545,WN,762,N255WN,191,195,171,-3,1,LAS,MSY,1501,3,17,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,3612
2008,1,6,7,632,615,843,840,WN,969,N600WN,131,145,119,3,17,HOU,MDW,937,4,8,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9542
2008,1,6,7,1004,1000,1143,1125,WN,1945,N551WN,99,85,70,18,4,LAS,SJC,386,3,26,0,0,0,0,18,0,0,9883
2008,1,5,6,1454,1410,1526,1435,WN,921,N463WN,92,85,75,51,44,PIT,MDW,402,5,12,0,0,39,0,7,0,5,7947
2008,1,3,4,1900,1840,1956,1950,WN,717,N786SW,56,70,49,6,20,ISP,BWI,220,2,5,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,22
2008,1,4,5,1816,1725,2324,2245,WN,2726,N281WN,188,200,172,39,51,PHX,IND,1489,9,7,0,0,2,0,0,0,37,4825
2008,1,4,5,1374.5330893565,900,1493.5018856386,955,WN,130,N528SW,108.1113036388,55,92.0929568851,16.7574151463,21.1768831961,SAT,DAL,248,5.0421975334,10.9764155739,1,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,5216
2008,1,3,4,1316,1135,1413,1245,WN,689,N426WN,57,70,50,88,101,MSY,HOU,303,3,4,0,0,55,0,0,0,33,943
2008,1,6,7,1507,1455,1610,1600,WN,354,N630WN,63,65,45,10,12,LAS,LAX,236,5,13,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9744
2008,1,5,6,932,930,1056,1105,WN,902,N255WN,144,155,126,-9,2,MDW,DEN,895,5,13,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,7288
2008,1,3,4,1330,1320,1609,1615,WN,330,N236WN,99,115,86,-6,10,LAX,ELP,714,3,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,328
2008,1,4,5,1036,950,1141,1050,WN,2787,N601WN,65,60,42,51,46,PHX,ABQ,328,3,20,0,0,0,0,5,0,46,4778
2008,1,4,5,1321,1310,1446,1440,WN,689,N443WN,145,150,125,6,11,HOU,DEN,883,10,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,3326
2008,1,6,7,927,915,1607,1620,WN,594,N432WN,220,245,204,-13,12,LAS,PIT,1910,6,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9831
2008,1,5,6,1832,1830,1918,1920,WN,1936,N387SW,46,50,35,-2,2,SAT,HRL,233,2,9,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,8168
2008,1,4,5,628,630,1020,1045,WN,3170,N254WN,172,195,161,-25,-2,TUS,MDW,1440,4,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,5798
2008,1,6,7,1253,1250,1357,1415,WN,983,N725SW,124,145,112,-18,3,BWI,STL,737,5,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9118
2008,1,6,7,1907,1905,2009,2005,WN,1254,N793SA,62,60,45,4,2,LAS,SAN,258,4,13,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9853
2008,1,4,5,1022,1020,1110,1110,WN,130,N320SW,48,50,38,0,2,DAL,OKC,181,3,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,3064
2008,1,4,5,1211,1210,1258,1300,WN,3949,N605SW,47,50,39,-2,1,AUS,DAL,189,3,5,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,2475
2008,1,3,4,640,640,833,845,WN,2469,N609SW,113,125,98,-12,0,SDF,TPA,727,5,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,1841
2008,1,5,6,1512,1510,1626,1630,WN,71,N440LV,74,80,60,-4,2,SMF,LAX,373,6,8,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,8369
2008,1,5,6,1617,1400,1493.5018856386,1520,WN,2360,N349SW,108.1113036388,80,92.0929568851,16.7574151463,137,LAX,RNO,390,5.0421975334,12,0,1,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,7008
2008,1,3,4,2221,2050,135,20,WN,514,N432WN,134,150,122,75,91,MDW,TPA,997,3,9,0,0,44,0,0,0,31,890
2008,1,5,6,1456,1440,1651,1650,WN,983,N793SA,115,130,103,1,16,STL,HOU,687,4,8,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,8465
2008,1,5,6,1437,1435,1836,1840,WN,3419,N779SW,179,185,164,-4,2,SAT,BWI,1407,4,11,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,8146
2008,1,6,7,1219,1215,1319,1320,WN,20,N505SW,60,65,51,-1,4,DAL,LBB,293,2,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9236
2008,1,4,5,1833,1735,2117,2025,WN,1671,N693SW,104,110,87,52,58,LAX,ELP,714,4,13,0,0,0,0,12,0,40,3766
2008,1,6,7,1244,1230,1520,1530,WN,1056,N600WN,156,180,143,-10,14,ISP,PBI,1052,6,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,9644
2008,1,3,4,1215,1145,1319,1255,WN,906,N301SW,64,70,54,24,30,ONT,SJC,333,4,6,0,0,2,0,0,0,22,1182
2008,1,6,7,2246,2055,2353,2155,WN,815,N432WN,67,60,52,118,111,LAS,BUR,223,2,13,0,0,6,0,7,0,105,9707
2008,1,5,6,1155,1155,1340,1400,WN,3328,N718SW,225,245,213,-20,0,TPA,DEN,1506,4,8,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,8528
2008,1,4,5,1301,1305,1423,1425,WN,1422,N794SW,82,80,69,-2,-4,BNA,MDW,395,3,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,2606
2008,1,4,5,1524,1510,1643,1650,WN,3691,N432WN,79,100,66,-7,14,BWI,DTW,408,3,10,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,2788
2008,1,4,5,1612,1605,1801,1820,WN,2183,N501SW,109,135,99,-19,7,BNA,HOU,670,3,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,2582
2008,1,4,5,2209,2100,2315,2205,WN,2202,N211WN,66,65,40,70,69,LAX,LAS,236,4,22,0,0,0,0,1,0,69,3782
2008,1,4,5,1932,1930,2209,2200,WN,163,N479WN,277,270,257,9,2,MDW,SMF,1790,5,15,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,4311
2008,1,4,5,1748,1730,1847,1830,WN,1583,N632SW,59,60,39,17,18,ONT,LAS,197,9,11,0,0,9,0,0,0,8,4590
2008,1,4,5,1830,1820,1935,1930,WN,44,N525SW,65,70,54,5,10,DAL,MAF,319,4,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,3048
2008,1,3,4,1727,1605,1824,1655,WN,985,N752SW,57,50,31,89,82,OAK,RNO,180,5,21,0,0,14,0,7,0,68,1061
2008,1,3,4,1358,1210,1953,1815,WN,1136,N733SA,235,245,213,98,108,OAK,MDW,1844,7,15,0,0,25,0,0,0,73,1034
2008,1,5,6,1352,1310,1509,1430,WN,73,N636WN,77,80,62,39,42,SMF,LAX,373,4,11,0,0,13,0,0,0,26,8370
2008,1,5,6,746,745,857,900,WN,377,N432WN,71,75,60,-3,1,SJC,SAN,417,4,7,0,0,11.3447619048,1.3330612245,5.7382312925,0.1088435374,29.9227210884,8301
2008,1,5,6,1402,1345,1547,1520,WN,127,N746SW,105,95,74,27,17,LAS,OAK,407,14,17,0,0,12,0,10,0,5,6831
2008,1,3,4,1450,1430,1607,1545,WN,1032,N489WN,77,75,64,22,20,LAX,OAK,337,5,8,0,0,0,0,2,0,20,370
